City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
122,Ouagadougou,BF,84.33,12.3642,-1.5383,HOTEL AVENIR
124,Dessalines,HT,81.75,19.2833,-72.5,l'auberge de dessalines
130,Cayenne,GF,80.64,4.9333,-52.3333,Central Hôtel
145,Salta,AR,77.59,-24.7859,-65.4117,Ayres de Salta Hotel
146,Cidreira,BR,73.8,-30.1811,-50.2056,Hotel Castelo
147,Biltine,TD,82.22,14.5333,20.9167,فندق ثلاث نجوم بلتن
149,Posse,BR,76.01,-14.0931,-46.3694,Palmeiras Hotel
150,Hilo,US,78.28,19.7297,-155.09,Dolphin Bay Hotel
158,Avarua,CK,86.05,-21.2078,-159.775,Paradise Inn
166,Ladario,BR,80.89,-19.0047,-57.6017,Hotel Gold Fish
169,Padang,ID,75.54,-0.9492,100.3543,losmen Surya
177,Mogadishu,SO,78.35,2.0371,45.3438,Villa Rays Restaurant & Hotel
178,Monrovia,LR,80.37,6.3005,-10.7969,Bella Casa Hotel
179,Cockburn Town,TC,80.56,21.4612,-71.1419,The Salt Raker Inn
181,Valparaiso,CL,82.63,-33.0393,-71.6273,Ibis Hotel
184,Lodwar,KE,87.57,3.1191,35.5973,Lodwar Modern Lodge
187,Saint Augustine,US,79.07,29.8947,-81.3145,Best Western Bayfront
192,Panuco,MX,77.18,22.05,-98.1667,Hotel Plaza
193,Bac Lieu,VN,74.98,9.285,105.7244,Khách sạn Bạc Liêu
199,San Carlos De Bariloche,AR,71.35,-41.1456,-71.3082,Kronos
203,Sibolga,ID,74.44,1.7427,98.7792,Hotel Prima Indah
204,Marsh Harbour,BS,78.87,26.5412,-77.0636,Lofty Fig Villas
209,Karratha,AU,84.09,-20.7377,116.8463,Karratha International Hotel
213,Catuday,PH,72.48,16.2923,119.8062,Nina Anchors Inn
218,Paraiso,CR,78.71,9.8383,-83.8656,Cabinas
219,Viedma,AR,71.76,-40.8135,-62.9967,Níjar
220,Diamantino,BR,76.68,-14.4086,-56.4461,Hotel kayaby
224,Salinopolis,BR,78.3,-0.6136,-47.3561,Hotel Salinópolis
231,Salalah,OM,75.29,17.0151,54.0924,Muscat International Hotel
236,Pak Phanang,TH,76.62,8.3511,100.202,Pak Phanang Hotel
239,Kavieng,PG,76.01,-2.5744,150.7967,Kavieng Hotel
240,Puerto Escondido,MX,85.03,15.85,-97.0667,Hotel Barlovento
242,Yulara,AU,73.31,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
243,Vila Velha,BR,80.55,-20.3297,-40.2925,Hotel Prainha
245,Toamasina,MG,77.16,-18.1667,49.3833,Androranga
248,Melur,IN,72.73,10.05,78.3333,Temple City Gateway
253,Georgetown,MY,78.73,5.4112,100.3354,Page 63 hostel
263,Hithadhoo,MV,81.55,-0.6,73.0833,Pebbles Inn
264,Rio Grande,BR,75.31,-32.035,-52.0986,Hotel Vila Moura Executivo
269,Teahupoo,PF,75.16,-17.8333,-149.2667,Vanira Lodge
282,Kimberley,ZA,71.74,-28.7323,24.7623,Royal Paume Hotel
283,Touros,BR,80.4,-5.1989,-35.4608,Pousada Atlântico
286,Aswan,EG,76.98,24.0934,32.907,Yaseen hotel
287,Saint-Pierre,RE,77.58,-21.3393,55.4781,Tropic Hotel
290,Souillac,MU,77.38,-20.5167,57.5167,Hotel SkylineInn
295,The Valley,AI,79.11,18.217,-63.0578,CeBlue
297,Inhambane,MZ,76.44,-23.865,35.3833,Hotel de Inhambane
302,Sao Filipe,CV,73.74,14.8961,-24.4956,Bela Vista
309,Acapulco,MX,85.82,16.8634,-99.8901,Hotel del Valle
312,Richards Bay,ZA,71.87,-28.783,32.0377,Protea Hotel
315,Maragogi,BR,79.97,-9.0122,-35.2225,Pousada Mariluz
317,Sinnamary,GF,77.36,5.3833,-52.95,Hôtel du fleuve
318,Bukama,CD,70.05,-9.2,25.85,Mission catholique
328,Chuy,UY,72.3,-33.6971,-53.4616,Alerces
335,Kupang,ID,75.78,-10.1667,123.5833,BIB & LANG GUEST HOUSE
336,Kaduqli,SD,79.25,11.0167,29.7167,South Kordofan Hotel
339,Ewa Beach,US,80.55,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
341,Port Macquarie,AU,72.9,-31.4333,152.9167,The Observatory
344,Pisco,PE,77.05,-13.7,-76.2167,La Portada
345,Cabo San Lucas,MX,75.61,22.8909,-109.9124,Comfort Rooms
349,Kloulklubed,PW,75.7,7.0419,134.2556,The Adventures Inn
359,Pontianak,ID,75.18,-0.0333,109.3333,Golden Tulip Hotel
360,Sao Jose De Piranhas,BR,85.37,-7.1206,-38.5019,Hotel Pousada São José
366,Juba,SS,84.42,4.8517,31.5825,Hotel Juba Regency
368,Hambantota,LK,75.54,6.1241,81.1185,Oasis Aurweda Resort Hambathota
376,Aquiraz,BR,83.17,-3.9014,-38.3911,Pousada tia Fabíola
377,Olavarria,AR,81.55,-36.8927,-60.3225,Santa Rosa Hotel
380,Ariquemes,BR,79.21,-9.9133,-63.0408,Aquarius
382,San Angelo,US,80.29,31.4638,-100.437,Hilton Hotel
391,Natal,BR,81.25,-5.795,-35.2094,Natal Palace Hotel
394,Brazzaville,CG,80.24,-4.2658,15.2832,BLISS HOTEL
396,Makakilo City,US,79.12,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
399,Komatipoort,ZA,74.05,-25.4332,31.9548,Ecolux Boutique Hotel
400,Namatanai,PG,76.21,-3.6667,152.4333,Namatanai Hotel
406,Punta Alta,AR,80.55,-38.8759,-62.0736,Gran Hotel
412,Port Hedland,AU,82.45,-20.3167,118.5667,The Esplanade Hotel
423,Port Elizabeth,ZA,71.89,-33.918,25.5701,Waterford Hotel
424,Iquique,CL,75.24,-20.2208,-70.1431,Hostal Vivar
427,Senanga,ZM,72.73,-16.1167,23.2667,Senanga Safari Lodge
431,Ambilobe,MG,73.72,-13.2,49.05,Hôtel National
437,Isangel,VU,81.39,-19.55,169.2667,Tanna Lodge
444,Port Moresby,PG,76.39,-9.4431,147.1797,The Sanctuary Hotel and Spa
450,Bintulu,MY,74.1,3.1667,113.0333,Bakun Inn
454,Eldorado,BR,75.85,-23.7869,-54.2836,Hotel Laçador
455,Buritizeiro,BR,78.53,-17.3511,-44.9622,Hotel Pousada Sertão Veredas
460,Isiro,CD,71.31,2.7739,27.616,Hôtel Magbetu
