City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Beringovskiy,RU,2023-03-04 22:02:52,63.05,179.3167,1.38,93,100,15.21
101,Albany,US,2023-03-04 21:57:14,42.6001,-73.9662,36.64,90,100,3.8
102,Dikson,RU,2023-03-04 21:59:27,73.5069,80.5464,-6.5,95,100,8.66
103,Cape Town,ZA,2023-03-04 21:56:54,-33.9258,18.4232,69.12,88,75,5.75
104,Mahebourg,MU,2023-03-04 21:59:30,-20.4081,57.7,80.26,88,75,3.44
105,Grindavik,IS,2023-03-04 22:02:53,63.8424,-22.4338,40.95,100,75,6.91
106,Lebu,CL,2023-03-04 22:02:53,-37.6167,-73.65,59.81,66,0,17.22
107,Tuatapere,NZ,2023-03-04 22:02:54,-46.1333,167.6833,53.1,72,95,2.39
108,Ilulissat,GL,2023-03-04 22:02:54,69.2167,-51.1,42.82,52,88,13.8
109,Biak,ID,2023-03-04 22:02:55,-0.9131,122.8766,76.48,79,99,3.24
110,Vanimo,PG,2023-03-04 22:02:56,-2.6741,141.3028,77.88,90,100,8.77
111,Verkh-Usugli,RU,2023-03-04 22:02:56,52.7,115.1667,20.57,83,94,5.3
112,Kahului,US,2023-03-04 22:02:56,20.8947,-156.47,75.97,91,36,5.01
113,Qasigiannguit,GL,2023-03-04 22:02:57,68.8193,-51.1922,43.05,85,69,4.27
114,Llodio,ES,2023-03-04 22:02:57,43.1432,-2.962,41.9,75,0,4.61
115,Hobart,AU,2023-03-04 22:02:28,-42.8794,147.3294,65.23,94,75,8.05
116,Kirakira,SB,2023-03-04 22:02:58,-10.4544,161.9205,81.99,75,99,10.45
117,Poronaysk,RU,2023-03-04 22:02:58,49.2167,143.1167,10.09,93,98,1.66
118,Whitianga,NZ,2023-03-04 22:02:59,-36.8333,175.7,69.01,73,47,3.62
119,Sitka,US,2023-03-04 22:03:00,57.0531,-135.33,33.17,64,46,7.31
120,Nanortalik,GL,2023-03-04 22:03:00,60.1432,-45.2371,35.4,82,89,13.42
121,Conakry,GN,2023-03-04 22:03:01,9.538,-13.6773,78.87,83,0,4.61
122,Ouagadougou,BF,2023-03-04 22:01:00,12.3642,-1.5383,84.33,20,75,1.14
123,Azad Shahr,IR,2023-03-04 22:03:01,34.7909,48.5707,45.09,42,20,2.3
124,Dessalines,HT,2023-03-04 22:03:02,19.2833,-72.5,81.75,50,8,7.7
125,Saint-Augustin,CA,2023-03-04 22:03:03,51.226,-58.6502,9.41,87,95,6.55
126,Nagato,JP,2023-03-04 22:03:03,34.3833,131.2,46.09,71,5,12.37
127,Husavik,IS,2023-03-04 22:03:03,66.0449,-17.3389,33.28,97,100,2.46
128,Thompson,CA,2023-03-04 22:03:04,55.7435,-97.8558,17.76,79,100,6.91
129,Hobyo,SO,2023-03-04 22:03:05,5.3505,48.5268,77.7,78,70,16.24
130,Cayenne,GF,2023-03-04 22:00:35,4.9333,-52.3333,80.64,78,75,11.5
131,Srednekolymsk,RU,2023-03-04 22:04:07,67.45,153.6833,-43.44,99,50,1.57
132,Ban Mo,TH,2023-03-04 22:04:07,14.6154,100.7273,78.22,51,54,7.38
133,Longyearbyen,SJ,2023-03-04 22:04:08,78.2186,15.6401,3.04,60,75,20.71
134,Quesnel,CA,2023-03-04 22:04:08,52.9999,-122.5029,30.7,59,0,3.44
135,Paamiut,GL,2023-03-04 22:04:09,61.994,-49.6678,36.88,83,85,15.86
136,Guozhen,CN,2023-03-04 22:04:09,34.3659,107.359,51.31,47,0,2.01
137,Tiksi,RU,2023-03-04 22:04:10,71.6872,128.8694,-1.26,100,100,1.95
138,Jiuquan,CN,2023-03-04 22:04:10,39.7432,98.5174,36.99,33,46,1.72
